title,storyline,description,directors,writers,cast,tagline,genres
Final Destination: Bloodlines,"Plagued by a recurring violent nightmare, a college student returns home to find the one person who can break the cycle and save her family from the horrific fate that inevitably awaits them.","Plagued by a recurring violent nightmare, a college student returns home to find the one person who can break the cycle and save her family from the horrific fate that inevitably awaits them.","Zach Lipovsky, Adam B. Stein","Guy Busick, Lori Evans Taylor, Jon Watts","['Kaitlyn Santa Juana (Unknown Role)', 'Teo Briones (Unknown Role)', 'Rya Kihlstedt (Unknown Role)', 'Richard Harmon (Unknown Role)', 'Owen Patrick Joyner (Unknown Role)']",Tagline not available,Drama|Thriller
Soft Fruit,"Three sisters and their ex-con brother return home to nurse their mother, who is dying of cancer.","Three sisters and their ex-con brother return home to nurse their mother, who is dying of cancer.",Christina Andreef,Christina Andreef,"['Jeanie Drynan (Unknown Role)', 'Linal Haft (Unknown Role)', 'Russell Dykstra (Unknown Role)', 'Geneviève Lemon (Unknown Role)', 'Sacha Horler (Unknown Role)']",Tagline not available,Comedy|Drama
Babymother,"A single mother determined to make it as a singer puts together an all girl reggae group named Neeta, Sweeta, &amp; Nastie with her friends. Living in a housing project with little support, the odds are obviously against her. Emotiona...","A single mother determined to make it as a singer puts together an all girl reggae group named Neeta, Sweeta, &amp; Nastie with her friends. Living in a housing project with little support, the odds are obviously against her. Emotiona...",Julian Henriques,"Julian Henriques, Vivienne Howard, Trilla Jenna","['Anjela Lauren Smith (Unknown Role)', 'Wil Johnson (Unknown Role)', 'Caroline Chikezie (Unknown Role)', 'Jocelyn Jee Esien (Unknown Role)', 'Don Warrington (Unknown Role)']",Tagline not available,Drama
The Bear,A young chef from the fine dining world returns to Chicago to run his family's sandwich shop.,A young chef from the fine dining world returns to Chicago to run his family's sandwich shop.,Director not available,Christopher Storer,"['Jeremy Allen White (Unknown Role)', 'Ebon Moss-Bachrach (Unknown Role)', 'Ayo Edebiri (Unknown Role)', 'Lionel Boyce (Unknown Role)', 'Liza Colón-Zayas (Unknown Role)']",Tagline not available,Adventure
Deep Impact,"A comet is discovered to be on a collision course with Earth. As doomsday nears, the human race prepares for the worst.","A comet is discovered to be on a collision course with Earth. As doomsday nears, the human race prepares for the worst.",Mimi Leder,"Bruce Joel Rubin, Michael Tolkin","['Robert Duvall (Unknown Role)', 'Téa Leoni (Unknown Role)', 'Elijah Wood (Unknown Role)', 'Morgan Freeman (Unknown Role)', 'Vanessa Redgrave (Unknown Role)']",Tagline not available,Crime|Drama
Love Is a Many-Splendored Thing,A widowed Chinese-English doctor falls in love with a married American correspondent in Hong Kong during China's Communist Revolution.,A widowed Chinese-English doctor falls in love with a married American correspondent in Hong Kong during China's Communist Revolution.,"Henry King, Otto Lang","John Patrick, Han Suyin","['William Holden (Unknown Role)', 'Jennifer Jones (Unknown Role)', 'Torin Thatcher (Unknown Role)', 'Isobel Elsom (Unknown Role)', 'Murray Matheson (Unknown Role)']",Tagline not available,Romance
Le procès commence (Trial begins),,,Director not available,Writer not available,[],Tagline not available,Drama
The Crimson Pirate,"During the 1700s, pirate Captain Vallo seizes a British warship and gets involved in various money-making schemes involving Caribbean rebels led by El Libre, British envoy Baron Jose Gruda, and a beautiful courtesan named Consuelo.","During the 1700s, pirate Captain Vallo seizes a British warship and gets involved in various money-making schemes involving Caribbean rebels led by El Libre, British envoy Baron Jose Gruda, and a beautiful courtesan named Consuelo.",Robert Siodmak,Roland Kibbee,"['Burt Lancaster (Unknown Role)', 'Nick Cravat (Unknown Role)', 'Eva Bartok (Unknown Role)', 'Torin Thatcher (Unknown Role)', 'James Hayter (Unknown Role)']",Tagline not available,Adventure|Comedy|Sci-Fi
Thelma &amp; Louise,"Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two women escape for the crimes they committed.","Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two women escape for the crimes they committed.",Ridley Scott,Callie Khouri,"['Susan Sarandon (Unknown Role)', 'Geena Davis (Unknown Role)', 'Harvey Keitel (Unknown Role)', 'Michael Madsen (Unknown Role)', 'Christopher McDonald (Unknown Role)']",Tagline not available,Action|Drama
Something for Everyone,"In post-war Austria, young, handsome country lad Konrad Ludwig (Michael York) charms his way into a butler position at the castle of the widowed (and destitute) Countess von Ornstein (Angela Lansbury). He is soon running the entir...","In post-war Austria, young, handsome country lad Konrad Ludwig (Michael York) charms his way into a butler position at the castle of the widowed (and destitute) Countess von Ornstein (Angela Lansbury). He is soon running the entir...",Harold Prince,"Harry Kressing, Hugh Wheeler","['Angela Lansbury (Unknown Role)', 'Michael York (Unknown Role)', 'Anthony Higgins (Unknown Role)', 'Heidelinde Weis (Unknown Role)', 'Jane Carr (Unknown Role)']",Tagline not available,Comedy|Crime
...And Justice for All,"A lawyer is forced to defend a judge, while defending other clients, and trying to find punishment for the guilty and provide justice for the innocent.","A lawyer is forced to defend a judge, while defending other clients, and trying to find punishment for the guilty and provide justice for the innocent.",Norman Jewison,"Valerie Curtin, Barry Levinson","['Al Pacino (Unknown Role)', 'Jack Warden (Unknown Role)', 'John Forsythe (Unknown Role)', 'Lee Strasberg (Unknown Role)', 'Jeffrey Tambor (Unknown Role)']",Tagline not available,Drama|Thriller
National Lampoon&apos;s Animal House,"At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.","At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.",John Landis,"Harold Ramis, Douglas Kenney, Chris Miller","['John Belushi (Unknown Role)', 'Karen Allen (Unknown Role)', 'Tom Hulce (Unknown Role)', 'Stephen Furst (Unknown Role)', 'Mark Metcalf (Unknown Role)']",Tagline not available,Comedy
She&apos;s Gotta Have It,Story of a woman and her three lovers.,Story of a woman and her three lovers.,Spike Lee,"Spike Lee, Zora Neale Hurston","['Tracy Camilla Johns (Unknown Role)', 'Tommy Redmond Hicks (Unknown Role)', 'John Canada Terrell (Unknown Role)', 'Spike Lee (Unknown Role)', 'Raye Dowell (Unknown Role)']",Tagline not available,Comedy|Romance
School Daze,A not so popular young man wants to pledge to a popular fraternity at his historically black college.,A not so popular young man wants to pledge to a popular fraternity at his historically black college.,Spike Lee,Spike Lee,"['Laurence Fishburne (Unknown Role)', 'Giancarlo Esposito (Unknown Role)', 'Tisha Campbell (Unknown Role)', 'Kyme (Unknown Role)', 'Joe Seneca (Unknown Role)']",Tagline not available,Drama
Do the Right Thing,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.","On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",Spike Lee,Spike Lee,"['Danny Aiello (Unknown Role)', 'Ossie Davis (Unknown Role)', 'Ruby Dee (Unknown Role)', 'Richard Edson (Unknown Role)', 'Giancarlo Esposito (Unknown Role)']",Tagline not available,Comedy|Drama
Mo&apos; Better Blues,Jazz trumpeter Bleek Gilliam makes questionable decisions in his professional and romantic lives.,Jazz trumpeter Bleek Gilliam makes questionable decisions in his professional and romantic lives.,Spike Lee,Spike Lee,"['Denzel Washington (Unknown Role)', 'Spike Lee (Unknown Role)', 'Wesley Snipes (Unknown Role)', 'Giancarlo Esposito (Unknown Role)', 'Robin Harris (Unknown Role)']",Tagline not available,Drama
Jungle Fever,Friends and family of a married Black architect react in different ways to his affair with an Italian secretary.,Friends and family of a married Black architect react in different ways to his affair with an Italian secretary.,Spike Lee,Spike Lee,"['Wesley Snipes (Unknown Role)', 'Annabella Sciorra (Unknown Role)', 'Spike Lee (Unknown Role)', 'Ossie Davis (Unknown Role)', 'Ruby Dee (Unknown Role)']",Tagline not available,Drama|Romance
Coogan&apos;s Bluff,Arizona Deputy Sheriff Coogan is sent to New York City to escort an escaped fugitive back for trial.,Arizona Deputy Sheriff Coogan is sent to New York City to escort an escaped fugitive back for trial.,Don Siegel,"Herman Miller, Dean Riesner, Howard Rodman","['Clint Eastwood (Unknown Role)', 'Lee J. Cobb (Unknown Role)', 'Susan Clark (Unknown Role)', 'Tisha Sterling (Unknown Role)', 'Don Stroud (Unknown Role)']",Tagline not available,Crime
The Champ,"Billy Flynn is an ex-champion boxer who was KO'd by booze and gambling. When the wealthy, estranged mother of his young son begins trying to lure the boy away from him, Flynn must return to the ring to provide for his child.","Billy Flynn is an ex-champion boxer who was KO'd by booze and gambling. When the wealthy, estranged mother of his young son begins trying to lure the boy away from him, Flynn must return to the ring to provide for his child.",Franco Zeffirelli,"Frances Marion, Walter Newman","['Jon Voight (Unknown Role)', 'Faye Dunaway (Unknown Role)', 'Ricky Schroder (Unknown Role)', 'Jack Warden (Unknown Role)', 'Arthur Hill (Unknown Role)']",Tagline not available,Drama
Creature Comforts,"Stop-motion animated satire of modern man on the street and documentary interviews, responding to unseen questioners. The voices of the characters are supplied by everyday people speaking varied regional accents.","Stop-motion animated satire of modern man on the street and documentary interviews, responding to unseen questioners. The voices of the characters are supplied by everyday people speaking varied regional accents.",Director not available,Nick Park,"['The Great British Public (Unknown Role)', 'David Patterson (Unknown Role)']",Tagline not available,Animation|Comedy
Death Wish,"Dr. Paul Kersey is an experienced trauma surgeon, a man who has spent his life saving lives. After an attack on his family, Paul embarks on his own mission for justice.","Dr. Paul Kersey is an experienced trauma surgeon, a man who has spent his life saving lives. After an attack on his family, Paul embarks on his own mission for justice.",Eli Roth,"Joe Carnahan, Brian Garfield, Wendell Mayes","['Bruce Willis (Unknown Role)', ""Vincent D'Onofrio (Unknown Role)"", 'Elisabeth Shue (Unknown Role)', 'Camila Morrone (Unknown Role)', 'Dean Norris (Unknown Role)']",Tagline not available,Action|Drama
Death Wish II,"Architect Paul Kersey once again becomes a vigilante when he tries to find the five street punks who murdered his daughter and housekeeper, this time on the dark streets of Los Angeles.","Architect Paul Kersey once again becomes a vigilante when he tries to find the five street punks who murdered his daughter and housekeeper, this time on the dark streets of Los Angeles.",Michael Winner,"David Engelbach, Brian Garfield, Michael Winner","['Charles Bronson (Unknown Role)', 'Jill Ireland (Unknown Role)', 'Vincent Gardenia (Unknown Role)', 'J.D. Cannon (Unknown Role)', 'Anthony Franciosa (Unknown Role)']",Tagline not available,Action|Drama
Death Wish 3,Architect/vigilante Paul Kersey arrives back in New York City and is forcibly recruited by a crooked police chief to fight street crime caused by a large gang terrorizing the neighborhoods.,Architect/vigilante Paul Kersey arrives back in New York City and is forcibly recruited by a crooked police chief to fight street crime caused by a large gang terrorizing the neighborhoods.,Michael Winner,"Don Jakoby, Brian Garfield","['Charles Bronson (Unknown Role)', 'Deborah Raffin (Unknown Role)', 'Ed Lauter (Unknown Role)', 'Martin Balsam (Unknown Role)', ""Gavan O'Herlihy (Unknown Role)""]",Tagline not available,Action|Drama
Death Wish 4: The Crackdown,Architect/vigilante Paul Kersey takes on the members of a vicious Los Angeles drug cartel to stop the flow of drugs after his girlfriend's daughter dies from an overdose.,Architect/vigilante Paul Kersey takes on the members of a vicious Los Angeles drug cartel to stop the flow of drugs after his girlfriend's daughter dies from an overdose.,J. Lee Thompson,"Brian Garfield, Gail Morgan Hickman","['Charles Bronson (Unknown Role)', 'Kay Lenz (Unknown Role)', 'John P. Ryan (Unknown Role)', 'Perry Lopez (Unknown Role)', 'George Dickerson (Unknown Role)']",Tagline not available,Action|Drama
